Algus;Lõpp
14.04.1922;28.05.1922
21.03.1923;24.05.1923
26.03.1924;01.06.1924
01.04.1925;15.05.1925
01.04.1926;02.06.1926
03.03.1927;27.05.1927
29.03.1928;06.05.1928
21.03.1929;31.05.1929
03.03.1930;02.05.1930
17.04.1931;19.05.1931
03.04.1932;20.05.1932
17.03.1933;10.05.1933
16.03.1934;13.05.1934
23.03.1935;16.05.1935
01.03.1936;07.05.1936
15.03.1937;12.05.1937
28.02.1938;04.05.1938
27.03.1939;14.05.1939
08.04.1940;11.05.1940
15.04.1941;29.05.1941
09.04.1942;11.05.1942
25.02.1943;26.04.1943
10.04.1944;21.05.1944
21.03.1945;04.05.1945
21.03.1946;24.05.1946
28.03.1947;23.05.1947
23.03.1948;12.05.1948
24.03.1949;06.05.1949
19.03.1950;13.05.1950
03.04.1951;11.05.1951
08.04.1952;13.05.1952
23.03.1953;08.05.1953
22.03.1954;19.05.1954
16.04.1955;08.06.1955
18.04.1956;27.05.1956
29.03.1957;21.05.1957
11.04.1958;28.05.1958
26.02.1959;05.05.1959
08.04.1960;19.05.1960
25.03.1961;05.05.1961
01.04.1962;22.05.1962
09.04.1963;28.05.1963
01.04.1964;27.05.1964
18.03.1965;17.05.1965
30.03.1966;27.05.1966
07.03.1967;17.05.1967
23.03.1968;06.05.1968
07.04.1969;17.05.1969
05.04.1970;19.05.1970
19.03.1971;10.05.1971
30.03.1972;10.06.1972
23.03.1973;14.05.1973
18.03.1974;06.05.1974
06.03.1975;11.05.1975
27.03.1976;11.06.1976
11.03.1977;16.06.1977
28.03.1978;11.05.1978
24.03.1979;28.05.1979
31.03.1980;22.05.1980
22.03.1981;17.05.1981
04.03.1982;18.05.1982
19.03.1983;21.05.1983
30.03.1984;18.05.1984
27.03.1985;30.05.1985
17.03.1986;27.05.1986
29.03.1987;03.06.1987
27.03.1988;02.06.1988
29.12.1989;05.04.1989
16.01.1990;16.04.1990
13.03.1991;05.05.1991
12.02.1992;29.04.1992
15.03.1993;05.05.1993
08.03.1994;03.05.1994
13.02.1995;01.05.1995
09.04.1996;04.06.1996
22.02.1997;01.05.1997
12.04.1998;23.05.1998
26.03.1999;23.05.1999
29.02.2000;05.05.2000
01.04.2001;01.06.2001
13.01.2002;12.05.2002
11.03.2003;14.05.2003
16.03.2004;12.05.2004
25.03.2005;10.05.2005
29.03.2006;21.05.2006
02.03.2007;03.05.2007
29.03.2008;11.06.2008
29.03.2009;01.06.2009
27.03.2010;03.05.2010
01.04.2011;13.05.2011
18.03.2012;10.05.2012
12.04.2013;13.05.2013
21.03.2014;06.04.2014
16.02.2015;27.03.2015
