Date;Water temperature;;;;;;;;
06.11.2007;2,69;;;;;;;;
07.11.2007;2,08;;;;;;;;
08.11.2007;1,9;;;;;;;;
09.11.2007;1,81;;;;;;;;
10.11.2007;1,69;;;;;;;;
11.11.2007;1,7;;;;;;;;
12.11.2007;1,54;;;;;;;;
13.11.2007;1,2;;;;;;;;
14.11.2007;1,23;;;;;;;;
15.11.2007;1,14;;;;;;;;
16.11.2007;1,14;;;;;;;;
17.11.2007;1,09;;;;;;;;
18.11.2007;0,82;;;;;;;;
19.11.2007;0,86;;;;;;;;
20.11.2007;1,2;;;;;;;;
21.11.2007;1,16;;;;;;;;
22.11.2007;1,15;;;;;;;;
23.11.2007;1,3;;;;;;;;
24.11.2007;1,55;;;;;;;;
25.11.2007;1,6;;;;;;;;
26.11.2007;1,68;;;;;;;;
27.11.2007;1,91;;;;;;;;
28.11.2007;1,65;;;;;;;;
29.11.2007;1,05;;;;;;;;
30.11.2007;0,94;;;;;;;;
01.12.2007;0,6;;;;;;;;
02.12.2007;0,39;;;;;;;;
03.12.2007;0,28;;;;;;;;
04.12.2007;0,36;;;;;;;;
05.12.2007;0,53;;;;;;;;
06.12.2007;0,66;;;;;;;;
07.12.2007;0,8;;;;;;;;
08.12.2007;1,19;;;;;;;;
09.12.2007;1,66;;;;;;;;
10.12.2007;1,84;;;;;;;;
11.12.2007;2,27;;;;;;;;
12.12.2007;2,25;;;;;;;;
13.12.2007;2,04;;;;;;;;
14.12.2007;1,83;;;;;;;;
15.12.2007;1,62;;;;;;;;
16.12.2007;1,41;;;;;;;;
17.12.2007;1,2;;;;;;;;
18.12.2007;1,03;;;;;;;;
19.12.2007;1,07;;;;;;;;
20.12.2007;1,14;;;;;;;;
21.12.2007;1,3;;;;;;;;
22.12.2007;1,45;;;;;;;;
23.12.2007;1,58;;;;;;;;
24.12.2007;1,52;;;;;;;;
25.12.2007;1,41;;;;;;;;
26.12.2007;1,08;;;;;;;;
27.12.2007;0,66;;;;;;;;
28.12.2007;0,42;;;;;;;;
29.12.2007;0,49;;;;;;;;
30.12.2007;0,63;;;;;;;;
31.12.2007;0,58;;;;;;;;
01.01.2008;0,5;;;;;;;;
02.01.2008;0,4;;;;;;;;
03.01.2008;0,3;;;;;;;;
04.01.2008;0,43;;;;;;;;
05.01.2008;0,26;;;;;;;;
06.01.2008;0,2;;;;;;;;
07.01.2008;0,19;;;;;;;;
08.01.2008;0,13;;;;;;;;
09.01.2008;0,1;;;;;;;;
10.01.2008;0,13;;;;;;;;
11.01.2008;0,18;;;;;;;;
12.01.2008;0,2;;;;;;;;
13.01.2008;0,18;;;;;;;;
14.01.2008;0,18;;;;;;;;
15.01.2008;0,2;;;;;;;;
16.01.2008;0,2;;;;;;;;
17.01.2008;0,13;;;;;;;;
18.01.2008;0,11;;;;;;;;
19.01.2008;0,15;;;;;;;;
20.01.2008;0,21;;;;;;;;
21.01.2008;0,28;;;;;;;;
22.01.2008;0,34;;;;;;;;
23.01.2008;0,35;;;;;;;;
24.01.2008;0,13;;;;;;;;
25.01.2008;0,2;;;;;;;;
26.01.2008;0,27;;;;;;;;
27.01.2008;0,46;;;;;;;;
28.01.2008;0,43;;;;;;;;
29.01.2008;0,28;;;;;;;;
30.01.2008;0,3;;;;;;;;
31.01.2008;0,36;;;;;;;;
01.02.2008;0,27;;;;;;;;
02.02.2008;0,39;;;;;;;;
03.02.2008;0,4;;;;;;;;
04.02.2008;0,55;;;;;;;;
05.02.2008;0,5;;;;;;;;
06.02.2008;0,48;;;;;;;;
07.02.2008;0,53;;;;;;;;
08.02.2008;0,73;;;;;;;;
09.02.2008;0,92;;;;;;;;
10.02.2008;1,23;;;;;;;;
11.02.2008;1,43;;;;;;;;
12.02.2008;1,54;;;;;;;;
13.02.2008;1,56;;;;;;;;
