Algus;Lõpp
15.04.1922;18.06.1922
20.03.1923;24.06.1923
25.03.1924;07.07.1924
02.04.1925;02.06.1925
05.04.1926;18.06.1926
04.03.1927;23.05.1927
30.03.1928;09.06.1928
20.03.1929;25.06.1929
01.03.1930;16.05.1930
15.04.1931;01.07.1931
01.04.1932;20.06.1932
16.03.1933;15.06.1933
15.03.1934;13.05.1934
20.02.1935;20.05.1935
05.03.1936;30.05.1936
14.03.1937;10.06.1937
02.03.1938;21.05.1938
25.03.1939;10.06.1939
03.04.1940;20.06.1940
17.04.1941;01.07.1941
07.04.1942;13.06.1942
26.02.1943;24.05.1943
10.04.1944;14.06.1944
23.03.1945;07.06.1945
22.03.1946;24.06.1946
28.03.1947;10.06.1947
30.03.1948;23.05.1948
25.03.1949;14.06.1949
20.03.1950;25.06.1950
04.04.1951;05.06.1951
07.04.1952;16.06.1952
25.03.1953;22.05.1953
23.03.1954;22.05.1954
16.04.1955;07.07.1955
14.04.1956;23.07.1956
29.03.1957;04.06.1957
10.04.1958;24.06.1958
19.03.1959;24.06.1959
09.04.1960;19.06.1960
13.03.1961;10.06.1961
03.04.1962;13.06.1962
10.04.1963;03.07.1963
02.04.1964;24.06.1964
18.03.1965;20.06.1965
28.03.1966;28.06.1966
02.03.1967;11.06.1967
22.03.1968;14.06.1968
09.04.1969;02.07.1969
02.04.1970;30.06.1970
25.03.1971;03.06.1971
01.04.1972;13.06.1972
14.03.1973;30.06.1973
20.03.1974;07.06.1974
06.03.1975;20.06.1975
29.03.1976;29.06.1976
15.03.1977;30.07.1977
16.03.1978;22.07.1978
26.03.1979;09.06.1979
01.04.1980;03.07.1980
22.03.1981;28.05.1981
05.03.1982;13.06.1982
17.03.1983;21.06.1983
30.03.1984;09.06.1984
29.03.1985;18.06.1985
16.03.1986;13.06.1986
29.03.1987;29.06.1987
25.03.1988;29.06.1988
02.01.1989;01.06.1989
15.01.1990;02.06.1990
13.03.1991;08.06.1991
22.02.1992;20.05.1992
15.03.1993;31.05.1993
02.03.1994;01.07.1994
13.02.1995;22.08.1995
08.04.1996;30.06.1996
22.02.1997;15.06.1997
13.04.1998;30.05.1998
27.03.1999;30.06.1999
28.02.2000;27.05.2000
02.04.2001;13.06.2001
11.01.2002;13.06.2002
08.03.2003;19.06.2003
15.03.2004;08.06.2004
23.03.2005;18.05.2005
28.03.2006;04.07.2006
07.03.2007;25.05.2007
29.03.2008;11.06.2008
30.03.2009;01.06.2009
27.03.2010;20.06.2010
02.04.2011;15.06.2011
11.03.2012;14.06.2012
07.04.2013;12.07.2013
10.03.2014;21.04.2014
16.02.2015;06.04.2015
