Algus;Lõpp;
31.03.1925;07.05.1925;
31.03.1926;02.06.1926;
05.03.1927;12.05.1927;
29.03.1928;22.05.1928;
19.03.1929;31.05.1929;
03.03.1930;30.04.1930;
17.04.1931;31.05.1931;
02.04.1932;22.05.1932;
17.03.1933;07.05.1933;
19.03.1934;09.05.1934;
23.03.1935;12.05.1935;
12.03.1936;08.05.1936;
16.03.1937;12.05.1937;
05.03.1938;08.05.1938;
06.04.1939;17.05.1939;
03.04.1940;09.05.1940;
17.04.1941;01.06.1941;
08.04.1942;01.06.1942;
10.03.1943;08.05.1943;
12.04.1944;22.05.1944;
24.03.1945;15.05.1945;
19.03.1946;28.05.1946;
26.03.1947;22.05.1947;
29.03.1948;23.05.1948;
25.03.1949;19.05.1949;
20.03.1950;20.05.1950;
02.04.1951;13.05.1951;
08.04.1952;13.05.1952;
25.03.1953;06.05.1953;
23.03.1954;19.05.1954;
16.04.1955;08.06.1955;
18.04.1956;05.06.1956;
01.04.1957;21.05.1957;
13.04.1958;05.06.1958;
27.02.1959;05.05.1959;
11.04.1960;20.05.1960;
12.03.1961;04.05.1961;
04.04.1962;15.05.1962;
10.04.1963;29.05.1963;
31.03.1964;31.05.1964;
21.03.1965;18.05.1965;
31.03.1966;31.05.1966;
08.03.1967;07.05.1967;
25.03.1968;30.04.1968;
10.04.1969;22.05.1969;
04.04.1970;16.05.1970;
21.03.1971;14.05.1971;
13.03.1972;15.06.1972;
23.03.1973;12.05.1973;
13.03.1974;07.05.1974;
06.03.1975;13.05.1975;
28.03.1976;02.06.1976;
13.03.1977;04.06.1977;
28.03.1978;06.06.1978;
21.03.1979;09.06.1979;
30.03.1980;19.06.1980;
23.03.1981;19.05.1981;
17.03.1982;03.06.1982;
20.03.1983;10.05.1983;
30.03.1984;17.05.1984;
28.03.1985;20.05.1985;
20.03.1986;13.05.1986;
25.03.1987;22.05.1987;
24.03.1988;07.06.1988;
27.12.1989;16.03.1989;
11.01.1990;21.03.1990;
12.03.1991;27.04.1991;
01.03.1992;03.05.1992;
14.03.1993;13.05.1993;
07.03.1994;18.05.1994;
13.02.1995;14.05.1995;
08.04.1996;10.06.1996;
23.02.1997;23.04.1997;
10.04.1998;20.05.1998;
27.03.1999;25.05.1999;
29.02.2000;22.05.2000;
01.04.2001;19.05.2001;
02.02.2002;19.04.2002;
11.03.2003;16.05.2003;
16.03.2004;16.05.2004;
25.03.2005;07.05.2005;
28.03.2006;22.05.2006;
09.03.2007;24.04.2007;
27.03.2008;09.06.2008;
31.03.2009;31.05.2009;
27.03.2010;04.05.2010;
03.04.2011;04.05.2011;
18.03.2012;08.05.2012;
13.04.2013;11.05.2013;
21.03.2014;04.04.2014;
