Algus;Lõpp
01.04.1946;01.06.1946
01.04.1947;25.05.1947
28.03.1948;10.05.1948
23.03.1949;17.05.1949
18.03.1950;15.05.1950
06.04.1951;09.05.1951
09.04.1952;14.05.1952
24.03.1953;04.05.1953
22.03.1954;20.05.1954
16.04.1955;11.06.1955
20.04.1956;25.05.1956
01.04.1957;28.05.1957
13.04.1958;02.06.1958
28.02.1959;01.05.1959
12.04.1960;19.05.1960
26.03.1961;06.05.1961
02.04.1962;17.05.1962
11.04.1963;20.05.1963
11.04.1964;25.05.1964
01.04.1965;15.05.1965
02.04.1966;23.05.1966
10.03.1967;31.05.1967
24.03.1968;24.05.1968
06.04.1969;21.05.1969
08.04.1970;03.06.1970
20.03.1971;22.05.1971
30.03.1972;07.06.1972
23.03.1973;13.05.1973
20.03.1974;06.05.1974
07.03.1975;20.05.1975
29.03.1976;25.05.1976
15.03.1977;17.05.1977
28.03.1978;16.05.1978
28.03.1979;27.05.1979
03.04.1980;21.05.1980
23.03.1981;22.05.1981
25.03.1982;30.05.1982
22.03.1983;11.05.1983
31.03.1984;24.05.1984
29.03.1985;31.05.1985
25.03.1986;18.05.1986
29.03.1987;24.05.1987
30.03.1988;31.05.1988
01.01.1989;06.05.1989
20.01.1990;02.05.1990
19.03.1991;07.05.1991
01.03.1992;11.05.1992
16.03.1993;12.05.1993
10.03.1994;19.05.1994
14.02.1995;24.05.1995
09.04.1996;11.06.1996
25.02.1997;13.05.1997
17.04.1998;23.05.1998
22.03.1999;27.05.1999
25.02.2000;15.05.2000
04.04.2001;14.05.2001
13.01.2002;22.05.2002
25.03.2003;14.05.2003
15.03.2004;15.05.2004
25.03.2005;08.05.2005
28.03.2006;19.05.2006
02.03.2007;24.04.2007
30.03.2008;09.06.2008
30.03.2009;01.06.2009
27.03.2010;23.05.2010
02.04.2011;27.05.2011
17.03.2012;11.05.2012
11.04.2013;15.05.2013
20.03.2014;05.04.2014
16.02.2015;27.03.2015
